accession,location
"GCA..002293295.1..Bacteria..Firmicutes..Clostridia..Clostridiales..Ruminococcaceae..Ruminococcus..Ruminococcus..sp..UBA946
",hostAssociated
"GCA..002297185.1..Bacteria..Firmicutes..Clostridia..Clostridiales..Catabacteriaceae..Catabacter..Catabacter..sp..UBA767
",hostAssociated
"GCA..002308775.1..Bacteria..Firmicutes..Clostridia..Clostridiales..Hungateiclostridiaceae..Mageeibacillus..Mageeibacillus..sp..UBA1257
",hostAssociated
"GCA..002309015.1..Bacteria..Proteobacteria..Deltaproteobacteria..Myxococcales..NA..NA..Myxococcales..bacterium..UBA1238
",hostAssociated
"GCA..002340265.1..Bacteria..Lentisphaerae..Lentisphaeria..NA..NA..NA..Lentisphaeria..bacterium..UBA2565
",hostAssociated
"GCA..002340345.1..Bacteria..Proteobacteria..Alphaproteobacteria..NA..NA..NA..Alphaproteobacteria..bacterium..UBA2562
",hostAssociated
"GCA..002366995.1..Bacteria..NA..NA..NA..NA..NA..bacterium..UBP3..UBA3054
",hostAssociated
"GCA..002369235.1..Bacteria..Verrucomicrobia..NA..NA..NA..NA..Verrucomicrobia..bacterium..UBA3783
",hostAssociated
"GCA..002395105.1..Bacteria..Proteobacteria..Alphaproteobacteria..Rickettsiales..NA..NA..Rickettsiales..bacterium..UBA4270
",hostAssociated
"GCA..002406055.1..Bacteria..Spirochaetes..Spirochaetia..Spirochaetales..NA..NA..Spirochaetales..bacterium..UBA4629
",hostAssociated
"GCA..002429005.1..Bacteria..Verrucomicrobia..NA..NA..NA..NA..Verrucomicrobia..bacterium..UBA6056
",hostAssociated
"GCA..002449765.1..Bacteria..Fibrobacteres..Fibrobacteria..Fibrobacterales..Fibrobacteraceae..Fibrobacter..Fibrobacter..sp..UBA7003
",hostAssociated
"GCA..002478485.1..Bacteria..Firmicutes..Clostridia..Clostridiales..Eubacteriaceae..NA..Eubacteriaceae..bacterium..UBA7485
",hostAssociated
"GCA..002631715.1..Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..NA..NA..Candidatus..Porisulfidus..sp..TsSOB
",hostAssociated
"GCA..002746645.1..Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Gammaproteobacteria..bacterium
",hostAssociated
"GCA..002747255.1..Bacteria..Acidobacteria..NA..NA..NA..NA..Acidobacteria..bacterium
",hostAssociated
"GCA..002747355.1..Bacteria..Proteobacteria..NA..NA..NA..NA..Proteobacteria..bacterium
",hostAssociated
"GCA..002747435.1..Bacteria..Proteobacteria..NA..NA..NA..NA..Proteobacteria..bacterium
",hostAssociated
"GCA..002747745.1..Bacteria..NA..NA..NA..NA..NA..bacterium..DOLZORAL124..38..8
",hostAssociated
"GCA..002748355.1..Bacteria..Planctomycetes..NA..NA..NA..NA..Planctomycetes..bacterium
",hostAssociated
"GCA..002796975.1..Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..Rhodospirillaceae..Ferrovibrio..Ferrovibrio..sp
",hostAssociated
"GCA..003506415.1..Bacteria..Firmicutes..Clostridia..Clostridiales..NA..NA..Clostridiales..bacterium
",hostAssociated
"GCA..900066305.1..Bacteria..Firmicutes..Clostridia..Clostridiales..Eubacteriaceae..Eubacterium..uncultured..Eubacterium..sp
",hostAssociated
"GCF..000092845.1..Bacteria..Spirochaetes..Spirochaetia..Brachyspirales..Brachyspiraceae..Brachyspira..Brachyspira..murdochii..DSM..12563
",hostAssociated
"GCF..000300295.4..Bacteria..Proteobacteria..Gammaproteobacteria..Thiotrichales..Piscirickettsiaceae..Piscirickettsia..Piscirickettsia..salmonis..ATCC..VR-1361
",hostAssociated
"GCF..000425045.1..Bacteria..Firmicutes..Negativicutes..Acidaminococcales..Acidaminococcaceae..Acidaminococcus..Acidaminococcus..intestini..DSM..21505
",hostAssociated
"GCF..000466385.1..Bacteria..Firmicutes..Bacilli..Bacillales..Paenibacillaceae..Aneurinibacillus..Aneurinibacillus..aneurinilyticus..ATCC..12856
",hostAssociated
"GCF..000702165.1..Bacteria..Firmicutes..Bacilli..Lactobacillales..Lactobacillaceae..Sharpea..Sharpea..azabuensis..DSM..18934
",hostAssociated
"GCF..000772535.1..Bacteria..Proteobacteria..Gammaproteobacteria..Pasteurellales..Pasteurellaceae..Chelonobacter..Chelonobacter..oris..1662
",hostAssociated
"GCF..000828855.1..Bacteria..Tenericutes..Mollicutes..Mycoplasmatales..Mycoplasmataceae..Mycoplasma..Mycoplasma..canadense..HAZ360..1
",hostAssociated
"GCF..001311905.1..Bacteria..Firmicutes..Bacilli..Bacillales..Bacillaceae..Calditerricola..Calditerricola..satsumensis..JCM..14719
",hostAssociated
"GCF..001553315.1..Bacteria..Firmicutes..Negativicutes..Veillonellales..Veillonellaceae..Veillonella..Veillonella..dispar..DNF00926
",hostAssociated
"GCF..001908175.1..Bacteria..Firmicutes..Bacilli..Bacillales..NA..Exiguobacterium..Exiguobacterium..sp..AT1b..AT1b
",hostAssociated
"GCF..001922545.1..Bacteria..Spirochaetes..Spirochaetia..Spirochaetales..Borreliaceae..Borreliella..Borreliella..garinii..CIP..103362
",hostAssociated
"GCF..002020875.1..Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Solemya..pervernicosa..gill..symbiont
",hostAssociated
"GCF..002277955.1..Bacteria..Planctomycetes..Planctomycetia..Pirellulales..Thermoguttaceae..Thermogutta..Thermogutta..terrifontis..R1
",hostAssociated
"GCF..002902625.1..Bacteria..Firmicutes..Bacilli..Bacillales..Staphylococcaceae..Staphylococcus..Staphylococcus..devriesei..CCUG..58238
",hostAssociated
"GCA..000375685.1..Archaea..Crenarchaeota..NA..NA..NA..NA..crenarchaeote..SCGC..AAA261-N23..SCGC..AAA261-N23
",marine_deep
"GCA..000406005.1..Bacteria..Candidatus..Poribacteria..NA..NA..NA..NA..Candidatus..Poribacteria..bacterium..WGA-3G..WGA-3G
",marine_deep
"GCA..001510295.1..Archaea..Thaumarchaeota..NA..NA..NA..NA..Thaumarchaeota..archaeon..casp-thauma4
",marine_deep
"GCA..001577135.1..Bacteria..Candidatus..Cloacimonetes..NA..NA..NA..NA..Cloacimonetes..bacterium..TCS60
",marine_deep
"GCA..001751085.1..Bacteria..Proteobacteria..Deltaproteobacteria..Desulfobacterales..NA..NA..Desulfobacterales..bacterium..C00003060
",marine_deep
"GCA..001766825.1..Archaea..Euryarchaeota..Methanomicrobia..Methanosarcinales..NA..Candidatus..Syntrophoarchaeum..Candidatus..Syntrophoarchaeum..butanivorans
",marine_deep
"GCA..001940645.1..Archaea..Candidatus..Heimdallarchaeota..NA..NA..NA..NA..Candidatus..Heimdallarchaeota..archaeon..LC..3
",marine_deep
"GCA..001940725.1..Archaea..Candidatus..Heimdallarchaeota..NA..NA..NA..NA..Candidatus..Heimdallarchaeota..archaeon..LC..2
",marine_deep
"GCA..002007405.1..Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Gammaproteobacteria..bacterium..Gsub
",marine_deep
"GCA..002049825.1..Bacteria..NA..NA..NA..NA..NA..candidate..division..KSB1..bacterium..4484..188
",marine_deep
"GCA..002049985.1..Bacteria..Candidatus..Latescibacteria..NA..NA..NA..NA..Candidatus..Latescibacteria..bacterium..4484..181
",marine_deep
"GCA..002050035.1..Bacteria..Planctomycetes..Planctomycetia..Planctomycetales..NA..NA..Planctomycetales..bacterium..4484..113
",marine_deep
"GCA..002059205.1..Bacteria..Candidatus..Latescibacteria..NA..NA..NA..NA..Candidatus..Latescibacteria..bacterium..4484..107
",marine_deep
"GCA..002084505.1..Bacteria..Proteobacteria..Alphaproteobacteria..Rickettsiales..Rickettsiaceae..NA..Rickettsiaceae..bacterium..4572..127
",marine_deep
"GCA..002084765.1..Bacteria..Candidatus..Cloacimonetes..NA..NA..NA..NA..Candidatus..Cloacimonetes..bacterium..4572..55
",marine_deep
"GCA..002084955.1..Bacteria..candidate..division..CPR3..NA..NA..NA..NA..candidate..division..CPR3..bacterium..4484..211
",marine_deep
"GCA..002085025.1..Bacteria..Candidatus..Omnitrophica..NA..NA..NA..NA..Candidatus..Omnitrophica..bacterium..4484..213
",marine_deep
"GCA..002085355.1..Bacteria..NA..NA..NA..NA..NA..candidate..division..KSB1..bacterium..4484..87
",marine_deep
"GCA..002085385.1..Bacteria..candidate..division..Zixibacteria..NA..NA..NA..NA..candidate..division..Zixibacteria..bacterium..4484..93
",marine_deep
"GCA..002085445.1..Bacteria..Proteobacteria..Gammaproteobacteria..Thiotrichales..Thiotrichaceae..Beggiatoa..Beggiatoa..sp..4572..84
",marine_deep
"GCA..002162915.1..Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..NA..NA..Rhodospirillales..bacterium..47..12..T64
",marine_deep
"GCA..002238415.1..Bacteria..Proteobacteria..Deltaproteobacteria..Desulfurellales..Desulfurellaceae..NA..Desulfurellaceae..bacterium..bin18
",marine_deep
"GCA..002238705.1..Bacteria..Acidobacteria..NA..NA..NA..NA..Acidobacteria..bacterium..bin61
",marine_deep
"GCA..002238725.1..Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..Rhodospirillaceae..NA..Rhodospirillaceae..bacterium..bin65
",marine_deep
"GCA..002238885.1..Bacteria..Proteobacteria..Alphaproteobacteria..NA..NA..NA..Alphaproteobacteria..bacterium..bin95
",marine_deep
"GCA..002238905.1..Bacteria..Proteobacteria..Alphaproteobacteria..NA..NA..NA..Alphaproteobacteria..bacterium..bin98
",marine_deep
"GCA..002238965.1..Bacteria..Nitrospinae..NA..NA..NA..NA..Nitrospinae..bacterium..bin107
",marine_deep
"GCA..002239025.1..Bacteria..Chloroflexi..NA..NA..NA..NA..Chloroflexi..bacterium..bin125
",marine_deep
"GCA..002254415.1..Archaea..Candidatus..Aenigmarchaeota..NA..NA..NA..NA..Candidatus..Aenigmarchaeota..archaeon..ex4484..52
",marine_deep
"GCA..002254565.1..Archaea..Candidatus..Altiarchaeota..NA..Candidatus..Altiarchaeales..NA..NA..Candidatus..Altiarchaeales..archaeon..ex4484..2
",marine_deep
"GCA..002254745.1..Archaea..Crenarchaeota..Thermoprotei..Desulfurococcales..NA..NA..Desulfurococcales..archaeon..ex4484..217..1
",marine_deep
"GCA..002255025.1..Archaea..Candidatus..Bathyarchaeota..NA..NA..NA..NA..Candidatus..Bathyarchaeota..archaeon..ex4484..135
",marine_deep
"GCA..002255045.1..Archaea..Candidatus..Bathyarchaeota..NA..NA..NA..NA..Candidatus..Bathyarchaeota..archaeon..ex4484..205
",marine_deep
"GCA..002256535.1..Bacteria..candidate..division..WOR-3..NA..NA..NA..NA..candidate..division..bacterium..WOR-3..4484..18
",marine_deep
"GCA..002311335.1..Bacteria..NA..NA..NA..NA..NA..bacterium..UBP10..UBA1149
",marine_deep
"GCA..002375895.1..Bacteria..Firmicutes..NA..NA..NA..NA..Firmicutes..bacterium..UBA3576
",marine_deep
"GCA..002375925.1..Bacteria..Firmicutes..NA..NA..NA..NA..Firmicutes..bacterium..UBA3575
",marine_deep
"GCA..002376005.1..Bacteria..Firmicutes..NA..NA..NA..NA..Firmicutes..bacterium..UBA3570
",marine_deep
"GCA..002376045.1..Bacteria..Firmicutes..NA..NA..NA..NA..Firmicutes..bacterium..UBA3567
",marine_deep
"GCA..002454015.1..Bacteria..Proteobacteria..NA..NA..NA..NA..Proteobacteria..bacterium..UBA6729
",marine_deep
"GCA..002457765.1..Bacteria..Proteobacteria..Alphaproteobacteria..NA..NA..NA..SAR116..cluster..bacterium..MED-G05
",marine_deep
"GCA..002683115.1..Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Gammaproteobacteria..bacterium
",marine_deep
"GCA..002683135.1..Bacteria..Planctomycetes..NA..NA..NA..NA..Planctomycetes..bacterium
",marine_deep
"GCA..002686135.1..Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..Rhodospirillaceae..NA..Rhodospirillaceae..bacterium
",marine_deep
"GCA..002686915.1..Bacteria..Gemmatimonadetes..NA..NA..NA..NA..Gemmatimonadetes..bacterium
",marine_deep
"GCA..002686955.1..Bacteria..Gemmatimonadetes..NA..NA..NA..NA..Gemmatimonadetes..bacterium
",marine_deep
"GCA..002687025.1..Bacteria..Candidatus..Poribacteria..NA..NA..NA..NA..Candidatus..Poribacteria..bacterium
",marine_deep
"GCA..002687735.1..Archaea..Candidatus..Diapherotrites..NA..NA..NA..NA..Candidatus..Diapherotrites..archaeon
",marine_deep
"GCA..002688135.1..Bacteria..NA..NA..NA..NA..NA..Parcubacteria..group..bacterium
",marine_deep
"GCA..002688175.1..Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..NA..NA..Chromatiales..bacterium
",marine_deep
"GCA..002692685.1..Bacteria..Proteobacteria..Alphaproteobacteria..Rhizobiales..Rhodobiaceae..NA..Rhodobiaceae..bacterium
",marine_deep
"GCA..002699105.1..Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..Ectothiorhodospiraceae..NA..Ectothiorhodospiraceae..bacterium
",marine_deep
"GCA..002701885.1..Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..Rhodospirillaceae..NA..Rhodospirillaceae..bacterium
",marine_deep
"GCA..002707085.1..Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..NA..Deltaproteobacteria..bacterium
",marine_deep
"GCA..002707205.1..Bacteria..Proteobacteria..Gammaproteobacteria..Legionellales..NA..NA..Legionellales..bacterium
",marine_deep
"GCA..002707655.1..Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..NA..Deltaproteobacteria..bacterium
",marine_deep
"GCA..002708005.1..Bacteria..Verrucomicrobia..Verrucomicrobiae..Verrucomicrobiales..NA..NA..Verrucomicrobiales..bacterium
",marine_deep
"GCA..002709155.1..Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..Rhodospirillaceae..NA..Rhodospirillaceae..bacterium
",marine_deep
"GCA..002710215.1..Bacteria..Chloroflexi..NA..NA..NA..NA..Chloroflexi..bacterium
",marine_deep
"GCA..002712885.1..Bacteria..Acidobacteria..NA..NA..NA..NA..Acidobacteria..bacterium
",marine_deep
"GCA..002715375.1..Bacteria..Proteobacteria..Oligoflexia..Bacteriovoracales..Halobacteriovoraceae..NA..Halobacteriovoraceae..bacterium
",marine_deep
"GCA..002722435.1..Bacteria..Proteobacteria..Gammaproteobacteria..Legionellales..NA..NA..Legionellales..bacterium
",marine_deep
"GCA..002726535.1..Bacteria..Proteobacteria..Deltaproteobacteria..Myxococcales..NA..NA..Myxococcales..bacterium
",marine_deep
"GCA..002728355.1..Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Gammaproteobacteria..bacterium
",marine_deep
"GCA..002731215.1..Bacteria..Acidobacteria..NA..NA..NA..NA..Acidobacteria..bacterium
",marine_deep
"GCA..002731375.1..Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..Rhodospirillaceae..NA..Rhodospirillaceae..bacterium
",marine_deep
"GCA..002862435.1..Bacteria..Proteobacteria..NA..NA..NA..NA..Proteobacteria..bacterium
",marine_deep
"GCA..002863065.1..Bacteria..Proteobacteria..NA..NA..NA..NA..Proteobacteria..bacterium
",marine_deep
"GCA..002897695.1..Bacteria..NA..NA..NA..NA..NA..bacterium..BMS3Abin14
",marine_deep
"GCA..002897715.1..Bacteria..NA..NA..NA..NA..NA..bacterium..BMS3Abin01
",marine_deep
"GCA..002898195.1..Bacteria..NA..NA..NA..NA..NA..bacterium..BMS3Bbin04
",marine_deep
"GCA..002937675.1..Bacteria..Proteobacteria..Alphaproteobacteria..NA..NA..NA..Alphaproteobacteria..bacterium..MarineAlpha9..Bin1
",marine_deep
"GCA..002938115.1..Bacteria..Proteobacteria..Alphaproteobacteria..NA..NA..NA..Alphaproteobacteria..bacterium..MarineAlpha9..Bin7
",marine_deep
"GCA..002938255.1..Bacteria..Proteobacteria..Alphaproteobacteria..NA..NA..NA..Alphaproteobacteria..bacterium..MarineAlpha5..Bin3
",marine_deep
"GCA..003034855.1..Archaea..NA..NA..NA..NA..NA..archaeon..SCG-AAA382B04
",marine_deep
"GCA..003056205.1..Bacteria..NA..NA..NA..NA..NA..Parcubacteria..group..bacterium..M6-OD1-4
",marine_deep
"GCA..003144275.1..Archaea..Candidatus..Heimdallarchaeota..NA..NA..NA..NA..Candidatus..Heimdallarchaeota..archaeon..B3..Heim
",marine_deep
"GCA..003194435.1..Archaea..Euryarchaeota..Methanomicrobia..Methanophagales..NA..NA..Methanophagales..archaeon
",marine_deep
"GCA..003194485.1..Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..NA..Deltaproteobacteria..bacterium
",marine_deep
"GCA..003213135.1..Bacteria..Proteobacteria..Alphaproteobacteria..Pelagibacterales..Pelagibacteraceae..NA..Pelagibacteraceae..bacterium..AG-426-I15
",marine_deep
"GCA..003216835.1..Bacteria..Cyanobacteria..NA..Synechococcales..Prochloraceae..Prochlorococcus..Prochlorococcus..sp..AG-402-K10
",marine_deep
"GCA..003228115.1..Bacteria..Chloroflexi..NA..NA..NA..NA..Chloroflexi..bacterium
",marine_deep
"GCA..003228965.1..Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Gammaproteobacteria..bacterium
",marine_deep
"GCA..003229375.1..Bacteria..Nitrospirae..NA..NA..NA..NA..Nitrospirae..bacterium
",marine_deep
"GCA..003229915.1..Bacteria..Chloroflexi..NA..NA..NA..NA..Chloroflexi..bacterium
",marine_deep
"GCA..003230085.1..Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Gammaproteobacteria..bacterium
",marine_deep
"GCA..003230355.1..Archaea..Euryarchaeota..NA..NA..NA..NA..Euryarchaeota..archaeon
",marine_deep
"GCA..003230535.1..Bacteria..NA..NA..NA..NA..NA..bacterium
",marine_deep
"GCA..003230795.1..Bacteria..NA..NA..NA..NA..NA..bacterium
",marine_deep
"GCA..003232385.1..Bacteria..NA..NA..NA..NA..NA..bacterium
",marine_deep
"GCA..003233075.1..Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Gammaproteobacteria..bacterium
",marine_deep
"GCA..003235575.1..Bacteria..Candidatus..Eisenbacteria..NA..NA..NA..NA..Candidatus..Eisenbacteria..bacterium
",marine_deep
"GCA..003235715.1..Bacteria..Nitrospirae..NA..NA..NA..NA..Nitrospirae..bacterium
",marine_deep
"GCA..003243965.1..Bacteria..Chloroflexi..NA..NA..NA..NA..Chloroflexi..bacterium
",marine_deep
"GCA..003244045.1..Bacteria..Candidatus..Dormibacteraeota..NA..NA..NA..Candidatus..Dormibacter..Candidatus..Dormibacter..sp..RRmetagenome..bin12
",marine_deep
"GCA..003244105.1..Bacteria..Candidatus..Eremiobacteraeota..NA..Candidatus..Eremiobacterales..NA..Candidatus..Eremiobacter..Candidatus..Eremiobacter..sp..RRmetagenome..bin22
",marine_deep
"GCA..003245625.1..Bacteria..Firmicutes..NA..NA..NA..NA..Firmicutes..bacterium
",marine_deep
"GCA..003245715.1..Bacteria..NA..NA..NA..NA..NA..bacterium
",marine_deep
"GCA..003246265.1..Bacteria..Kiritimatiellaeota..Kiritimatiellae..Kiritimatiellales..NA..NA..Kiritimatiellales..bacterium
",marine_deep
"GCA..003247575.1..Bacteria..Proteobacteria..NA..NA..NA..NA..Proteobacteria..bacterium
",marine_deep
"GCA..003280605.1..Bacteria..Proteobacteria..Alphaproteobacteria..NA..NA..NA..SAR116..cluster..bacterium..AG-355-O21
",marine_deep
"GCA..003454665.1..Bacteria..Nitrospirae..Nitrospira..Nitrospirales..Nitrospiraceae..NA..Nitrospiraceae..bacterium
",marine_deep
"GCA..003477185.1..Bacteria..Lentisphaerae..Lentisphaeria..NA..NA..NA..Lentisphaeria..bacterium
",marine_deep
"GCA..003504035.1..Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..Rhodospirillaceae..NA..Rhodospirillaceae..bacterium
",marine_deep
"GCA..003509045.1..Bacteria..Planctomycetes..NA..NA..NA..NA..Planctomycetes..bacterium
",marine_deep
"GCA..003527405.1..Bacteria..Candidatus..Atribacteria..NA..NA..NA..NA..Candidatus..Atribacteria..bacterium
",marine_deep
"GCA..003530255.1..Bacteria..Firmicutes..Clostridia..Clostridiales..NA..NA..Clostridiales..bacterium
",marine_deep
"GCF..000025525.1..Archaea..Euryarchaeota..Methanococci..Methanococcales..Methanocaldococcaceae..Methanocaldococcus..Methanocaldococcus..sp..FS406-22..FS406-22
",marine_deep
"GCF..000194625.1..Archaea..Euryarchaeota..Archaeoglobi..Archaeoglobales..Archaeoglobaceae..Archaeoglobus..Archaeoglobus..veneficus..SNP6
",marine_deep
"GCF..000328625.1..Bacteria..Firmicutes..Clostridia..Halanaerobiales..Halobacteroidaceae..Halobacteroides..Halobacteroides..halobius..DSM..5150
",marine_deep
"GCF..000427095.1..Bacteria..Armatimonadetes..Chthonomonadetes..Chthonomonadales..Chthonomonadaceae..Chthonomonas..Chthonomonas..calidirosea..T49
",marine_deep
"GCF..001029505.1..Bacteria..Actinobacteria..Rubrobacteria..Rubrobacterales..Rubrobacteraceae..Rubrobacter..Rubrobacter..aplysinae..RV113
",marine_deep
"GCF..001614315.2..Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..Ectothiorhodospiraceae..Halofilum..Halofilum..ochraceum..XJ16
",marine_deep
"GCF..001886815.1..Bacteria..Calditrichaeota..Calditrichae..Calditrichales..Calditrichaceae..Caldithrix..Caldithrix..abyssi..LF13
",marine_deep
"GCF..002109495.1..Bacteria..Proteobacteria..Alphaproteobacteria..Magnetococcales..Magnetococcaceae..Magnetofaba..Magnetofaba..australis..IT-1
",marine_deep
"GCF..002148795.1..Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..Rhodospirillaceae..Oceanibaculum..Oceanibaculum..nanhaiense..L54-1-50
",marine_deep
"GCF..002207765.1..Bacteria..Firmicutes..Clostridia..Thermoanaerobacterales..Thermoanaerobacteraceae..Calderihabitans..Calderihabitans..maritimus..KKC1
",marine_deep
"GCF..003148465.1..Bacteria..Thermotogae..Thermotogae..Thermotogales..Thermotogaceae..Oceanotoga..Oceanotoga..teriensis..DSM..24906
",marine_deep
"GCF..900172325.1..Bacteria..Proteobacteria..Alphaproteobacteria..Sneathiellales..Sneathiellaceae..Oceanibacterium..Oceanibacterium..hippocampi..CECT..7691
",marine_deep
"GCA..000503835.1..Bacteria..candidate..division..WWE3..NA..NA..NA..NA..candidate..division..WWE3..bacterium..RAAC2..WWE3..1..RAAC2..WWE3..1
",marine_shallow
"GCA..001412335.1..Archaea..Euryarchaeota..Methanomicrobia..Methanomicrobiales..Methanoregulaceae..Methanolinea..Methanolinea..sp..SDB
",marine_shallow
"GCA..001412365.1..Bacteria..Proteobacteria..Deltaproteobacteria..Desulfuromonadales..Desulfuromonadaceae..Desulfuromonas..Desulfuromonas..sp..SDB
",marine_shallow
"GCA..001412425.1..Bacteria..Candidatus..Cloacimonetes..NA..NA..NA..Candidatus..Cloacimonas..Candidatus..Cloacimonas..sp..SDB
",marine_shallow
"GCA..001437855.1..Bacteria..Actinobacteria..Actinobacteria..NA..NA..NA..Actinobacteria..bacterium..BACL4..MAG-120820-bin23
",marine_shallow
"GCA..001593855.1..Archaea..Candidatus..Bathyarchaeota..NA..NA..NA..NA..Candidatus..Bathyarchaeota..archaeon..B25
",marine_shallow
"GCA..001593865.1..Archaea..Candidatus..Bathyarchaeota..NA..NA..NA..NA..Candidatus..Bathyarchaeota..archaeon..B24
",marine_shallow
"GCA..001593875.1..Archaea..Candidatus..Bathyarchaeota..NA..NA..NA..NA..Candidatus..Bathyarchaeota..archaeon..B23
",marine_shallow
"GCA..001664505.1..Bacteria..Acidobacteria..NA..NA..NA..NA..Acidobacteria..bacterium..Mor1..Mor1
",marine_shallow
"GCA..001750625.1..Bacteria..Proteobacteria..Betaproteobacteria..NA..NA..NA..Betaproteobacteria..bacterium..AqS2
",marine_shallow
"GCA..001750645.1..Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Gammaproteobacteria..bacterium..AqS3
",marine_shallow
"GCA..001767075.1..Bacteria..Acidobacteria..NA..NA..NA..NA..Acidobacteria..bacterium..RIFCSPLOWO2..12..FULL..54..10
",marine_shallow
"GCA..001767695.1..Bacteria..Actinobacteria..NA..NA..NA..NA..Actinobacteria..bacterium..RBG..16..68..21
",marine_shallow
"GCA..001768075.1..Bacteria..Proteobacteria..Deltaproteobacteria..Myxococcales..Anaeromyxobacteraceae..Anaeromyxobacter..Anaeromyxobacter..sp..RBG..16..69..14
",marine_shallow
"GCA..001768675.1..Bacteria..Actinobacteria..NA..NA..NA..NA..Actinobacteria..bacterium..RBG..16..64..13
",marine_shallow
"GCA..001769385.1..Bacteria..Bacteroidetes..NA..NA..NA..NA..Bacteroidetes..bacterium..RIFCSPLOWO2..12..FULL..35..15
",marine_shallow
"GCA..001769655.1..Bacteria..Bacteroidetes..NA..NA..NA..NA..Bacteroidetes..bacterium..RIFCSPLOWO2..12..FULL..37..12
",marine_shallow
"GCA..001769805.1..Bacteria..Proteobacteria..Oligoflexia..Bdellovibrionales..NA..NA..Bdellovibrionales..bacterium..GWA1..52..35
",marine_shallow
"GCA..001771285.1..Bacteria..candidate..division..NC10..NA..NA..NA..NA..candidate..division..NC10..bacterium..RIFCSPLOWO2..12..FULL..66..18
",marine_shallow
"GCA..001771365.1..Bacteria..NA..NA..NA..NA..NA..candidate..division..WOR-1..bacterium..RIFCSPLOWO2..02..FULL..46..20
",marine_shallow
"GCA..001771505.1..Bacteria..NA..NA..NA..NA..NA..candidate..division..WOR-1..bacterium..RIFOXYB2..FULL..36..35
",marine_shallow
